pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-08-30,94.5,-2.57,5.66,"Cano, Yennier",643446,666974,field_out,hit_into_play,,,,,11,Jeff McNeil flies out to left fielder Dylan Beavers.,R,L,R,ATH,BAL,X,7,fly_ball,0,0,2026,-1.32,0.44,-0.8419109758479553,2.449464086719095,,,,2,9,Bot,60.6,100.5,,,,,7.322828284900524,-137.33172174604385,-3.3800705356724703,-18.284262021272276,31.573407161155245,-26.107697218345656,3.213861549,1.621948819,310,87.8,34,93.1,2106,5.6,824959,665966,691723,677942,687952,683002,687637,681297,665750,54.87,0.023,0.03,0.0,1,0,0,3,74,1,Sinker,5,8,5,8,8,5,5,8,Standard,Standard,250,-0.005,-0.26,70.1,7.6,,0.05,0.26,88.0,-3,-3,0.005,0.005,32,34,32,34,1,4,1,1,3,1,2.13,1.32,-1.32,16.0,-0.046291955701771,6.583879617870806,32.488335466072684,43.69185410446521,21.52479966197213
SI,2026-08-30,94.7,-2.6,5.53,"Cano, Yennier",703607,666974,field_out,hit_into_play,,,,,8,"Henry Bolte grounds out, third baseman Christian Encarnacion-Strand to first baseman Coby Mayo.",R,R,R,ATH,BAL,X,5,ground_ball,2,2,2026,-1.22,-0.02,-0.2090268639568058,1.8187188614826737,,,,1,9,Bot,111.78,169.92,,,,,8.887508963474309,-137.64278913343358,-3.744970346795604,-17.489103657690166,29.661234792498433,-31.778721995597753,3.332340879,1.681742126,2,79.3,-38,94.4,2144,6.1,824959,665966,691723,677942,687952,683002,687637,681297,665750,54.4,0.083,0.079,0.0,1,0,0,2,73,5,Sinker,5,8,5,8,8,5,5,8,Standard,Standard,256,-0.011,-0.235,80.8,7.8,,0.088,0.235,88.0,-3,-3,0.016,0.016,32,22,32,23,1,4,1,1,3,1,2.56,1.22,1.22,15.5,5.9464553695222735,6.8806501540771015,33.64020664126926,34.85335118566745,25.857316501891596
SI,2026-08-30,94.4,-2.62,5.53,"Cano, Yennier",703607,666974,,called_strike,,,,,8,,R,R,R,ATH,BAL,S,,,2,1,2026,-1.27,0.06,0.2030602836835449,1.7916299724523572,,,,1,9,Bot,,,,,,,10.07276984576971,-137.05658774001537,-3.9162897561725014,-18.25450723725487,29.68499606547486,-30.792411231768007,3.332340879,1.681742126,,,,93.9,2143,6.1,824959,665966,691723,677942,687952,683002,687637,681297,665750,54.43,,,,,,,,73,4,Sinker,5,8,5,8,8,5,5,8,Standard,Standard,257,-0.005,-0.076,,,,,0.076,,-3,-3,0.021,0.021,32,22,32,23,1,4,1,1,3,1,2.51,1.27,1.27,15.0,,,,,
SI,2026-08-30,94.5,-2.48,5.56,"Cano, Yennier",703607,666974,,swinging_strike,,,,,14,,R,R,R,ATH,BAL,S,,,2,0,2026,-1.13,0.15,0.4761268886504743,1.435639451813702,,,,1,9,Bot,,,,,,,10.096214162847536,-137.18417743361252,-5.1444501679093815,-16.475591473432203,29.190423619603816,-29.343373719115327,3.332340879,1.681742126,,,,94.2,2148,6.1,824959,665966,691723,677942,687952,683002,687637,681297,665750,54.36,,,,,,,,73,3,Sinker,5,8,5,8,8,5,5,8,Standard,Standard,255,-0.005,-0.069,76.3,7.8,1.30774308,,0.069,,-3,-3,0.026,0.026,32,22,32,23,1,4,1,1,3,1,2.41,1.13,1.13,15.6,4.353069296491115,11.145219012671433,31.734977695661,43.71652217807126,23.794006751011125
SI,2026-08-30,94.5,-2.39,5.56,"Cano, Yennier",703607,666974,,ball,,,,,14,,R,R,R,ATH,BAL,B,,,1,0,2026,-1.26,-0.28,1.075740017280548,1.256469673365963,,,,1,9,Bot,,,,,,,11.674384557840012,-137.13025182346223,-4.5767598437178005,-18.496871280142535,30.439127598008575,-34.86397975787229,3.332340879,1.681742126,,,,93.8,2151,6.1,824959,665966,691723,677942,687952,683002,687637,681297,665750,54.43,,,,,,,,73,2,Sinker,5,8,5,8,8,5,5,8,Standard,Standard,255,0.005,0.076,,,,,-0.076,,-3,-3,0.021,0.021,32,22,32,23,1,4,1,1,3,1,2.85,1.26,1.26,14.2,,,,,
SI,2026-08-30,94.3,-2.29,5.47,"Cano, Yennier",703607,666974,,ball,,,,,14,,R,R,R,ATH,BAL,B,,,0,0,2026,-1.45,0.0,0.7677781513765702,1.458354047281612,,,,1,9,Bot,,,,,,,11.04869417976986,-136.85245809024178,-4.486454716460194,-20.659617937649667,28.762207774552113,-31.365424471560672,3.332340879,1.681742126,,,,93.9,2078,6.1,824959,665966,691723,677942,687952,683002,687637,681297,665750,54.41,,,,,,,,73,1,Sinker,5,8,5,8,8,5,5,8,Standard,Standard,254,0.003,0.041,,,,,-0.041,,-3,-3,0.018,0.018,32,22,32,23,1,4,1,1,3,1,2.57,1.45,1.45,14.3,,,,,
FF,2026-08-30,93.6,-2.51,5.46,"Cano, Yennier",641680,666974,field_out,hit_into_play,,,,,8,Jonah Heim lines out to center fielder Colton Cowser.,R,L,R,ATH,BAL,X,8,line_drive,2,1,2026,-1.35,0.51,0.0602976232420464,1.7525628088606613,,,,0,9,Bot,119.5,61.26,,,,,9.46799614508326,-135.97299714585915,-4.712569557444778,-18.806679928149567,29.268391554998654,-24.99070795678268,3.375344488,1.703444882,342,99.9,17,92.7,2303,5.8,824959,665966,691723,677942,687952,683002,687637,681297,665750,54.67,0.489,0.542,0.0,1,0,0,4,72,4,4-Seam Fastball,5,8,5,8,8,5,5,8,Standard,Standard,259,-0.03,-0.311,72.2,7.3,,0.794,0.311,99.9,-3,-3,0.048,0.048,32,31,32,31,1,0,1,1,3,1,2.1,1.35,-1.35,13.5,-3.500547450766109,0.1456753974079584,39.831585225146384,38.12174863441982,29.061391332868663
SI,2026-08-30,94.5,-2.14,5.53,"Cano, Yennier",641680,666974,,ball,,,,,14,,R,L,R,ATH,BAL,B,,,1,1,2026,-1.21,-0.34,1.6442522528278765,0.9483590407783486,,,,0,9,Bot,,,,,,,12.350797101494573,-136.90411384857097,-5.086324557877484,-18.002957415480207,32.45024230725539,-35.42023170155793,3.375344488,1.703444882,,,,93.4,1975,6.0,824959,665966,691723,677942,687952,683002,687637,681297,665750,54.47,,,,,,,,72,3,Sinker,5,8,5,8,8,5,5,8,Standard,Standard,259,0.006,0.063,,,,,-0.063,,-3,-3,0.042,0.042,32,31,32,31,1,0,1,1,3,1,2.93,1.21,-1.21,18.5,,,,,
FF,2026-08-30,93.1,-2.51,5.57,"Cano, Yennier",641680,666974,,foul,,,,,1,,R,L,R,ATH,BAL,S,,,1,0,2026,-0.93,0.65,-0.3365835255930621,2.9167182262687685,,,,0,9,Bot,,,,,,,7.520639510310981,-135.4971862402504,-2.301374833106512,-13.08412378605436,28.96862436618144,-23.81688198618605,3.375344488,1.703444882,186,75.5,63,92.5,2107,5.9,824959,665966,691723,677942,687952,683002,687637,681297,665750,54.6,,,,,,,,72,2,4-Seam Fastball,5,8,5,8,8,5,5,8,Standard,Standard,255,-0.006,-0.056,68.1,7.2,,,0.056,88.0,-3,-3,0.048,0.048,32,31,32,31,1,0,1,1,3,1,1.97,0.93,-0.93,15.3,6.680565620996402,3.803913060599756,27.15732763463689,40.61445403182591,29.569358957498928
SI,2026-08-30,92.8,-2.44,5.78,"Cano, Yennier",641680,666974,,ball,,,,,11,,R,L,R,ATH,BAL,B,,,0,0,2026,-1.19,-0.37,-1.043199896738396,2.804123024874371,,,,0,9,Bot,,,,,,,6.064092324847048,-134.98411395412944,-0.7861079909909177,-15.926133739049126,29.94472449645309,-36.70358985336131,3.375344488,1.703444882,,,,91.1,1988,5.3,824959,665966,691723,677942,687952,683002,687637,681297,665750,55.19,,,,,,,,72,1,Sinker,5,8,5,8,8,5,5,8,Standard,Standard,250,0.005,0.043,,,,,-0.043,,-3,-3,0.043,0.043,32,31,32,31,1,0,1,1,3,1,3.02,1.19,-1.19,15.5,,,,,
