pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-06-20,95.8,-2.21,5.41,"Gómez, Yoendrys",694410,672782,field_out,hit_into_play,,,,,4,LuJames Groover flies out to left fielder Austin Martin.,R,R,R,AZ,MIN,X,7,fly_ball,0,0,2026,-0.59,1.47,-0.4951843230958427,2.689568707933194,,,,2,9,Bot,60.26,87.14,,,,,5.8795002142972335,-139.38155597466584,-4.77113475720086,-9.076647034962363,32.75712564708794,-12.1547852994208,3.287582021,1.659153543,320,89.6,45,96.5,2487,6.8,825068,605170,668904,656484,686797,668952,668885,693459,807712,53.7,0.003,0.003,0.0,1,0,0,3,95,1,4-Seam Fastball,8,16,8,16,16,8,8,16,Standard,Standard,212,-0.001,-0.26,70.4,7.3,,0.005,0.26,89.6,-8,-8,0.001,0.001,26,24,27,24,1,2,5,1,1,3,1.02,0.59,0.59,30.8,19.3847523190446,-19.013605183746954,38.727677351489184,31.90095531971397,37.173840368073286
ST,2026-06-20,84.5,-2.24,5.33,"Gómez, Yoendrys",656976,672782,strikeout,swinging_strike,,,,,14,Pavin Smith strikes out swinging.,R,L,R,AZ,MIN,S,2,,1,2,2026,1.49,0.14,0.5147233432888276,1.3743312090594544,,,,1,9,Bot,,,,,,,3.335830893782201,-122.96881275968865,-2.843861754131612,14.211227377907647,27.05542077315801,-30.371048387397025,3.290214895,1.660482283,,,,84.8,2848,6.7,825068,605170,668904,656484,686797,668952,668885,693459,807712,53.77,,0.0,0.0,1,0,0,,94,4,Sweeper,8,16,8,16,16,8,8,16,Infield shade,Standard,84,0.0,-0.181,69.0,8.7,0.29664132,,0.181,,-8,-8,0.001,0.001,26,30,27,30,1,4,5,1,1,1,3.08,-1.49,1.49,28.6,23.914264309740336,-30.97566996938071,31.152179677462197,35.11710248754847,44.107647922884496
ST,2026-06-20,83.8,-2.65,5.3,"Gómez, Yoendrys",656976,672782,,called_strike,,,,,1,,R,L,R,AZ,MIN,S,,,1,1,2026,1.12,0.5,-0.3166669229776974,3.038941902307787,,,,1,9,Bot,,,,,,,3.0900041371722287,-122.00968724884127,0.4235249928819875,10.470531858198273,26.07622511143926,-27.50287181803467,3.290214895,1.660482283,,,,84.2,2756,6.7,825068,605170,668904,656484,686797,668952,668885,693459,807712,53.75,,,,,,,,94,3,Sweeper,8,16,8,16,16,8,8,16,Infield shade,Standard,80,0.0,-0.074,,,,,0.074,,-8,-8,0.001,0.001,26,30,27,30,1,4,5,1,1,1,2.76,-1.12,1.12,29.5,,,,,
ST,2026-06-20,85.6,-2.46,5.37,"Gómez, Yoendrys",656976,672782,,ball,,,,,14,,R,L,R,AZ,MIN,B,,,0,1,2026,0.88,0.52,0.1795596122045024,1.3113674171498406,,,,1,9,Bot,,,,,,,4.379066257380097,-124.59697282625552,-4.146653844159525,8.261761164341797,25.84607521456498,-26.107575439555557,3.290214895,1.660482283,,,,86.2,2701,6.7,825068,605170,668904,656484,686797,668952,668885,693459,807712,53.76,,,,,,,,94,2,Sweeper,8,16,8,16,16,8,8,16,Infield shade,Standard,79,0.0,0.035,,,,,-0.035,,-8,-8,0.001,0.001,26,30,27,30,1,4,5,1,1,1,2.6,-0.88,0.88,28.0,,,,,
FF,2026-06-20,95.8,-2.13,5.45,"Gómez, Yoendrys",656976,672782,,foul,,,,,2,,R,L,R,AZ,MIN,S,,,0,0,2026,-0.17,1.37,-0.0680818044462858,3.071633725766147,,,,1,9,Bot,,,,,,,5.801361333909306,-139.3114794844464,-3.623667746085674,-3.631625086352865,33.344788734196335,-13.781417018706613,3.290214895,1.660482283,225,77.1,43,96.2,2566,6.7,825068,605170,668904,656484,686797,668952,668885,693459,807712,53.77,,,,,,,,94,1,4-Seam Fastball,8,16,8,16,16,8,8,16,Infield shade,Standard,211,0.0,-0.043,66.5,6.0,,,0.043,88.0,-8,-8,0.001,0.001,26,30,27,30,1,4,5,1,1,1,1.13,0.17,-0.17,34.5,-11.880693570625382,23.887282160724272,29.380389293382898,39.88630309958597,8.681555747506264
SI,2026-06-20,95.7,-2.05,5.32,"Gómez, Yoendrys",666971,672782,field_out,hit_into_play,,,,,4,"Lourdes Gurriel Jr. grounds out, second baseman Tristan Gray to first baseman Royce Lewis.",R,R,R,AZ,MIN,X,4,ground_ball,0,1,2026,-1.15,1.03,-0.4404345737774815,2.6769748951826893,,,,0,9,Bot,125.0,137.0,,,,,6.915970082782402,-139.17730567128103,-3.5013219932862047,-16.59469858976491,34.10389960778743,-18.234851529838828,3.354281496,1.692814961,61,96.3,2,96.3,2403,6.9,825068,605170,668904,656484,686797,668952,668885,693459,807712,53.64,0.474,0.441,0.0,1,0,0,4,93,2,Sinker,8,16,8,16,16,8,8,16,Standard,Standard,211,0.0,-0.221,66.8,6.3,,0.522,0.221,96.3,-8,-8,0.001,0.001,26,32,27,33,1,4,5,1,1,2,1.48,1.15,1.15,28.1,-2.2478553957899576,12.507518720526868,38.38666212599405,30.42967972394428,21.151807179606507
FF,2026-06-20,97.0,-2.38,5.47,"Gómez, Yoendrys",666971,672782,,foul,,,,,6,,R,R,R,AZ,MIN,S,,,0,0,2026,-0.47,1.18,0.4913223816629545,2.696824500305929,,,,0,9,Bot,,,,,,,8.73485470413478,-141.03228417481213,-4.463392019564215,-8.23887021301768,32.730581026606394,-15.545303730054416,3.354281496,1.692814961,223,77.8,51,97.7,2557,6.8,825068,605170,668904,656484,686797,668952,668885,693459,807712,53.72,,,,,,,,93,1,4-Seam Fastball,8,16,8,16,16,8,8,16,Standard,Standard,208,0.0,-0.043,69.2,6.8,,,0.043,88.0,-8,-8,0.001,0.001,26,32,27,33,1,4,5,1,1,2,1.25,0.47,0.47,30.3,1.157225274116464,13.11358900847847,32.95627735263607,41.994591604838234,18.65085319027184
EP,2026-06-20,35.6,-0.33,6.37,"Vargas, Ildemaro",807712,545121,force_out,hit_into_play,,,,,11,"Luke Keaschall grounds into a force out, third baseman LuJames Groover to second baseman Tim Tawa. Victor Caratini out at 2nd.",R,R,R,AZ,MIN,X,5,ground_ball,1,1,2026,0.08,1.76,-0.7312803783618411,3.7815744148586177,,,605170,2,9,Top,97.75,167.75,,,,,-0.4275297113508743,-49.868980590906375,11.762977664726174,0.1635711660195706,4.282395883170324,-30.491963068402647,3.213861549,1.621948819,82,85.7,6,33.2,795,4.7,825068,680728,656976,694374,694410,672695,666971,694371,678489,55.78,0.431,0.417,0.0,1,0,0,4,92,3,Eephus,8,16,16,8,16,8,16,8,Standard,Strategic,198,0.0,-0.268,,,,0.498,0.268,88.0,-8,8,0.001,0.999,34,23,35,24,1,5,,1,,1,17.76,-0.08,-0.08,62.5,,,,,
CS,2026-06-20,55.7,-1.06,5.55,"Vargas, Ildemaro",807712,545121,,ball,,,,,12,,R,R,R,AZ,MIN,B,,,0,1,2026,0.69,0.11,1.4944808038186714,3.990532162604537,,,605170,2,9,Top,,,,,,,2.89578546025877,-80.6497615708037,7.261935903848746,2.600075253391639,10.923512666510366,-32.92933272496062,3.213861549,1.621948819,,,,54.5,1645,5.5,825068,680728,656976,694374,694410,672695,666971,694371,678489,55.05,,,,,,,,92,2,Slow Curve,8,16,16,8,16,8,16,8,Standard,Strategic,75,0.0,0.033,,,,,-0.033,,-8,8,0.001,0.999,34,23,35,24,1,5,,1,,1,7.34,-0.69,-0.69,42.4,,,,,
FA,2026-06-20,66.5,-1.91,3.92,"Vargas, Ildemaro",807712,545121,,called_strike,,,,,9,,R,R,R,AZ,MIN,S,,,0,0,2026,-0.95,0.41,0.3710455671172669,2.080800126692184,,,605170,2,9,Top,,,,,,,5.511691133229227,-96.584480825104,4.194666008648988,-6.821416911073685,15.733917567977263,-30.55409161249809,3.213861549,1.621948819,,,,65.0,1471,5.2,825068,680728,656976,694374,694410,672695,666971,694371,678489,55.31,,,,,,,,92,1,Other,8,16,16,8,16,8,16,8,Standard,Strategic,268,0.0,-0.044,,,,,0.044,,-8,8,0.001,0.999,34,23,35,24,1,5,,1,,1,4.78,0.95,0.95,-4.5,,,,,
